text,humor
U.S. forces capture Islamic State operative in Iraq: NYT ,False
"Asia stocks rise as risk appetite returns, data boost:  ",False
New coalition commander inherits raging war in Afghanistan ,False
Jordanian forces kill 7 Islamist militants in Irbid: security source ,False
Uzbek woman says in court 'Allah ordered' her to sever child's head ,False
"Explosions, gunfire heard near Indian consulate in Afghan city ",False
One Chinese worker killed in Laos 'militant' attack: Xinhua ,False
Texas abortion case goes before shorthanded U.S. Supreme Court  ,False
Two Palestinian teens shot dead after attacking Israeli in West Bank ,False
Thai junta's intimidation of academics reveals insecurity: rights group ,False
U.S. turns to Broadway to promote gay rights at United Nations ,False
Hunger soars in CAR as nearly 2.5 million face food shortages ,False
Most nations in Americas have laws that can suppress journalism: report ,False
Haiti interim president: Election body to decide if vote deadline viable  ,False
Five murdered youth in Mexico confused for cartel members ,False
"Jamaican opposition wins one seat margin, new PM seen this week  ",False
Catholic Church abuse victims call for meeting with Pope  ,False
Filipino fishermen say China blocking access to South China Sea atoll: media ,False
"Many indigenous people lack title to land where they live, research shows ",False
"Stuck in limbo, Mauritania's Syrian refugees dream of the West ",False
Chongqing blazes economic trail as Bo scandal recedes ,False
Top Vatican cardinal says never raised abuse concerns with superiors ,False
China's militarization of South China Sea will have consequences: U.S. ,False
Newly released bin Laden letter calls on Americans to help Obama fight climate change:  ,False
"Hezbollah criticizes Saudi Arabia, sees new chapter of struggle in Lebanon ",False
Metallurgical company CEO arrested for exports to Iran: U.S. Justice Department ,False
Jordanian security clash with suspected Islamist militants in Irbid ,False
Turkey's Erdogan offers to help West Africa fight terrorism ,False
Irish PM says will attempt to form new government ,False
Guatemala sex slave victims seek $3 million in damages in historic wartime rape trial ,False
Prominent Saudi cleric on Islamic State hit list is injured in Philippines shooting: ,False
Rival of Uganda's Museveni challenges presidential poll result ,False
"Living in filth, Greece's migrants battle hunger and cold:  ",False
Now or never: Trump's 'wall' talk sparks migrant rush on U.S.-Mexico border:  ,False
"Another blast at Severstal's mine in Arctic, no one hurt: reports ",False
Executives of Brazil's No. 2 building company say it paid Rousseff campaign suppliers: paper ,False
U.N. will restart Syria peace talks on March 9. More here:  ,False
"Billionaire Mikhelson is now Russia's richest man, says Forbes:  ",False
U.N. delays vote on tough new North Korea sanctions at Russia's request:  ,False
China is to lay off five to six million workers. Find out more:  ,False
Tent city on Greek border grows as migrant stalemate persists ,False
EU to call for emergency humanitarian aid to Greece:  ,False
"U.S. student confesses to ""severe crimes"" in North Korea. More:  ",False
Billionaire Mikhelson becomes Russia's richest man: Forbes ,False
Prominent Saudi cleric injured in Philippines shooting ,False
German court starts hearings in bid to ban far-right NPD party ,False
Elections gains unlikely to shift Iran power balance fast ,False
"Guatemala police says to extradite former soccer chief Brayan Jimenez implicated in FIFA corruption scandal, to U.S.",False
"In latest cache of declassified documents, bin Laden fears tracking chip in wife's tooth:  ",False
Israel says Syrian government used chemical weapons during truce ,False
South Africa's Zuma defeats no-confidence vote over economy ,False
Iraqi forces try to cut Islamic State supply lines in western desert ,False
Next round of Syria peace talks to begin on March 9: U.N. -  ,False
Nobel Peace Prize shatters record for nominees for 2016 ,False
New bin Laden documents reveal al Qaeda's worries:  ,False
European rights body says worried by hate speech in Georgia ,False
Austria plans ad campaign to deter Afghans from seeking asylum ,False
New bin Laden documents reveal strains of managing al Qaeda's external networks:  ,False
"In newly declassified letter, bin Laden asks his father for forgiveness:  ",False
"U.N. may delay Syria talks, says U.S., Russia must guarantee truce ",False
"U.S.'s Kerry says two local employees, soldiers, killed in Pakistan blast ",False
No serious safety breaches at Russian coal mine where 36 died: agencies ,False
Northern Ireland murder case over 1998 Omagh bombing collapses ,False
"U.N. council to vote on North Korea sanctions text agreed by U.S., China ",False
"Documents show Bin Laden's wishes for $29 million of his funds, possessions after his death:  ",False
Infantino begins search for non-European chief exec:  ,False
Argentina's Macri faces first test in Congress with creditors deal ,False
"Hong Kong bookseller denies kidnapped by China, says to renounce UK citizenship:  ",False
"New bin Laden documents show a suspicious, pressured al Qaeda:  ",False
"Anti-torture committee warns Greece on over-crowded prisons, police violence ",False
Turkey closes media outlets seized from Gulen-linked owner ,False
Tunisia backs plan to host German troops to train Libyan army ,False
Cameron's morning after: how Brexit divorce gets messy ,False
Afghan troops pull out of more posts in volatile south ,False
"Assad backs Syria truce, accuses opposition of violations ",False
Turkey's top judge defends court independence after Erdogan criticism ,False
"Slovakia's Fico set for election win, reinforcing central Europe's EU dissenters ",False
"China to lay off 5-6 million workers, earmarks at least $23 bln -  ",False
"Some EU migrants can be told where to live, top court rules ",False
Spain's Socialist leader gears up for unlikely leadership bid ,False
Central African constitutional court confirms Touadera elected president ,False
Indian forces kill eight Maoist rebels in gunbattle ,False
"Mali rebel destroyed ancient Timbuktu shrines, ICC told ",False
"U.N. chief, Lavrov uphold Syria agreement, call for talks ",False
Basque militant separatist released from Spanish jail ,False
Lavrov calls for new pact against chemical warfare by Islamic State ,False
Europe on cusp of self-induced humanitarian crisis: UNHCR ,False
Bomb kills at least five Somali soldiers outside Mogadishu ,False
Mexico says 11 pregnant women infected with Zika ,False
Senior Iraqi army officer killed in Haditha attack ,False
Oil traders beware: El Niño may distort U.S. shale output picture:  ,False
Italian killed in Egypt was interrogated for days: forensics expert ,False
"From Brussels-bashing to Brexit, ambivalent Boris bets against EU ",False
Executed Pakistani praised as hero of Islam for supporting blasphemy law ,False
More than $1 billion was transferred into Malaysia PM's accounts: WSJ  ,False
Saudi says to work with oil producers to limit market volatility:  ,False
UK to send troops to Tunisia to help stop ISIS crossing Libyan border:  ,False
"OPEC watching Iran, Russia, unlikely to cut output in June  ",False
Barclays to exit Africa as profit falls:  ,False
Tunisian forces kill four militants in clashes: ministry ,False
Zimbabwe's Mujuru launches new political party to challenge Mugabe ,False
Oman bus crash kills 18 people: state news agency ,False
Israeli troops kill Palestinian after soldiers attacked in West Bank ,False
Zimbabwe court allows firm to return to diamond fields after government ban ,False
Brazil's Petrobras corruption investigation targets Lula  ,False
China party to punish former tycoon for microblog posts ,False
"Afghan women, girls face invasive virginity tests, says rights report ",False
Myanmar brings forward date for presidential nominations to March 10 ,False
Cambodians admit to raping French tourists in Thailand: foreign ministry ,False
U.N. Security Council to vote on new North Korea sanctions Tuesday: U.S.  ,False
China court jails 24 over $1.5-bln financial fraud - Xinhua ,False
"China's Xi says shares 'common destiny' with Vietnam, looks to repair ties ",False
South Korea's Park says door not shut on dialogue with North ,False
New Taiwan president's dilemma: to host or not to host the Dalai Lama?  ,False
"Missing Hong Kong bookseller to give up British passport, denies being kidnapped ",False
Top Vatican cardinal says pope backs him on stance over abuse issue  ,False
China navy launches first self-propelled floating dock ,False
Germany says credibility of Minsk peace deal for eastern Ukraine at stake ,False
Jamaican military on streets as election winner's margin narrows ,False
"Fog collectors net scarce water in Kenya, but face a cloudy future ",False
Lebanon struggles to help Syrian refugees with mental health problems ,False
"Bangladeshi women trafficked to war-torn Syria as sex slaves, maids ",False
Greek PM Tsipras says lenders could return for review in first 10 days of March ,False
Portugal nominates ex-refugee chief for U.N. secretary-general ,False
Egypt PM says government will present program to parliament in March ,False
"Trudeau, Canadian provinces set for tough climate change talks ",False
Suicide attacks west of Baghdad kill eight: sources ,False
Colombia's defense minister investigated over rebel visit ,False
"Support for Merkel rises, but doubts over refugee policy remain ",False
"Pakistan not to blame for Afghan troubles, official says on U.S. visit ",False
North Korea says U.S. student confessed to stealing item with propaganda slogan:  ,False
Ireland's No.2 party calls for reform of parliament before coalition talks ,False
The letters sent to China by major powers over concerns on new or planned laws.  ,False
Suicide bombing kills 27 at Shi'ite funeral in east Iraq. More here:  ,False
Britain's Cameron hits back at EU referendum foes with 'Project Fact' ,False
Syrian opposition says attacks by government forces are wrecking the truce deal:  ,False
Kuwaiti minister hints driver who killed policeman may be a militant ,False
Major powers team up to tell China of concerns over new laws ,False
In pictures: Violence breaks out as Calais migrant shanty is town dismantled:  ,False
Ex-Nigerian minister denies $3 million fraud charges over deadly recruitment stampede ,False
U.S. expects to give Iraq more support for Mosul fight: U.S. defense chief ,False
Ex-teacher faces Timbuktu monument destruction charges at ICC ,False
Mexico reports fresh theft of radioactive material ,False
UK regulators say won't apply EU bonus cap to all banks:  ,False
Police fire tear gas at supporters of Liberian anti-government activist ,False
Swiss may decide their own limits on migrants from EU without Brussels: foreign minister ,False
"Suicide bomber kills four in Yemen's Aden city: security source, residents ",False
Brazil justice minister to resign: presidency source ,False
U.S. warns citizens to be ready to leave Iraq if Mosul dam collapses ,False
Turkish military hits Islamic State positions inside Syria: broadcaster NTV ,False
John Kerry and Sartaj Aziz at the U.S. Pakistan Strategic Dialogue meeting. Watch:  ,False
Suicide bombing northeast of Baghdad kills 14 people: sources ,False
Bolivian president's woes deepen as ex-girlfriend is held ,False
Cameron's EU deal may disappoint wavering British voters - Sturgeon:  ,False
South African police says there is 'no case' against finance minister Gordhan ,False
"U.S. leads 24 strikes against Islamic State in Iraq, Syria ",False
Denmark PM names two new ministers after avoiding snap vote ,False
Syrian opposition says government wrecking truce deal ,False
At least 12 killed in eastern Congo by suspected Ugandan rebels ,False
"Irish rivals drag out stalemate, say both trying to form government ",False
Britain's EU deal - hollow or substantial? ,False
Varoufakis advises the UK Labour Party on EU matters:  ,False
Crises give Eritrea routes for closer global engagement ,False
Barclays Africa plays down impact of possible parent company exit: ,False
Macedonia police fire teargas on migrants at Greek border:  ,False
"As sea levels rise, economic damage piles up even faster - study -  ",False
France begins clearing part of Calais migrant camp ,False
Pakistan praises Oscar for film denouncing 'honor killings' ,False
Israeli military braces for battle over beards ,False
China cuts reserve requirement ratio for fifth time since February 2015:  ,False
Woman arrested in Moscow for murder after brandishing child's severed head ,False
Myanmar parliament to change presidential elections date: document ,False
Former Tepco execs indicted over Fukushima nuclear disaster:  ,False
"Syria ceasefire task force to meet, France wants answers on violations ",False
Orban says Hungary faces 'serious challenge' in euro decision ,False
"Iran reformists cheer election gains, hardliners play down shift ",False
NATO chief says concerned about Russian military build-up in Syria ,False
"Mahathir quits Malaysia's ruling UMNO party, protesting corruption ",False
Dutch find 10 Syrian war crime suspects among thousand of migrants ,False
Indonesia hopes village spending will counter radicalism ,False
Chinese court upholds life sentence for former Bo Xilai aide ,False
Conservatives call for truce in EU campaign,False
Rouhani allies win most Tehran seats in clerical body - final results on IRNA:  ,False
Hungary's Orban says no automatic extension of sanctions against Russia ,False
German foreign minister says common EU path is only way to tackle migrant crisis ,False
"Greece's 'erratic Marxist' Varoufakis advises Britain's Labour Party, Corbyn says ",False
Missing Hong Kong booksellers say arrested for 'illegal trading'  ,False
Pakistan hangs man who killed governor over call to reform blasphemy law:  ,False
"Syrian government forces regain strategic road from IS fighters: monitor, state TV ",False
Ten children stabbed outside school gate in southern China ,False
Philippines asks China to respect outcome of arbitration in territorial dispute ,False
"Russia's Lavrov, U.S. Kerry discuss Syria ceasefire plan ",False
Children sacrificed to bring luck in Uganda elections: charity ,False
Indonesia demolishes capital's largest red-light district  ,False
Brazil justice minister to quit as Lula probe tension grows: papers ,False
Syria's war liberates Kurdish women as it oppresses others ,False
China to prosecute two senior officials from Xinjiang over graft ,False
Japanese Emperor Akihito diagnosed with influenza  ,False
Indonesia government to back revisions to anti-graft law: senior minister  ,False
North Korea says detained U.S. student confesses to crimes against state ,False
Former Tepco execs indicted over Fukushima nuclear disaster: media ,False
"India, U.S. closer to pact to share military logistics: officials ",False
"Italy prepares new adoption law including gay couples, opposition firm ",False
Hungarian PM vows to resist EU's 'misguided' migrant policy ,False
Iran top leader Khamenei praises high turnout in elections: media ,False
Islamist group kills 17 in twin blasts in Somali town ,False
Irish instability looms as rival parties doubt coalition prospects ,False
Migrant spending splits German government ,False
"With victims in audience, Australian cardinal to testify on abuse ",False
"U.S., allies conduct 24 strikes against Islamic State: U.S. military ",False
"Up to 70,000 migrants may be trapped in Greece next month: migration minister ",False
Militiamen clash with guards at Yemen presidential palace: official ,False
"Pope urges united response to refugee 'drama', hopeful for Syria ",False
Turkey has foiled 18 suicide attacks so far this year: interior minister ,False
Egyptian lawmaker attacked with shoe for dining with Israeli ambassador ,False
Yemen says Aden airport to reopen in weeks after refurbishment ,False
"Bangladesh police raid suspected militant hideout, find explosives ",False
Britain's ruling Conservatives call for truce in EU campaign ,False
China Internet watchdog bans former tycoon's microblog ,False
Russia says registers nine truce violations in Syria in past 24 hours ,False
Militants launch largest attacks in months on Baghdad outskirts ,False
Turkey's Erdogan says does not respect court ruling on journalists ,False
'Radical' candidate in Hong Kong poll exposes underlying tensions ,False
PKK rocket attack kills Turkish police officer in southeast: sources ,False
EU's Tower of Babel may fall while leaders distracted ,False
Miners trapped after accident in Russia's Arctic pronounced dead ,False
Former Auschwitz SS medic to stand trial in Germany ,False
Egypt migrant departures stir new concern in Europe  ,False
Corruption scandals could foil Spanish PM Rajoy's bid to retain power ,False
"Afghan police suspected of aiding Taliban killed, detained by army ",False
China will set plan for raising retirement age next year: media ,False
Air strike targets suspected IS militants near Libya's Bani Walid: official ,False
UltraTech to buy Jaiprakash cement plants for $2.4 billion  ,False
Poland's ruling conservatives say files cast new shadow over Walesa  ,False
Record-breaking South Korea filibuster runs beyond 100 hours ,False
Tanzanian ministers face sack if fail to sign anti-graft pledge  ,False
"Iran's pragmatic Rouhani cheers election wins, says government stronger  ",False
Two former presidents of Mexico compare Trump to Hitler ,False
“They said they’ll hand me over to the Islamic State.” More ,False
Algeria jails man suspected of links to Paris attacks ringleader ,False
Swiss agree road map with Iran for boosting ties ,False
Thousands march in Moscow to honor slain Kremlin critic Nemtsov ,False
"Death toll in Somali Islamist attack at least 14, police says ",False
Arab coalition air strikes kill 40 northeast of Yemen capital: residents ,False
Hollande jeered at start of Paris farm show ,False
African Union to send 200 monitors to Burundi: SAfrican president ,False
Mugabe birthday bash riles critics in drought-hit Zimbabwe ,False
U.N. urges Pakistan to resolve Afghan refugees' status ,False
Islamic State attacks YPG-held town at Turkish border ,False
"London mayor Boris Johnson urges UK cabinet to back Brexit, defying PM Cameron ",False
ASEAN says seriously concerned about rising South China Sea tensions ,False
"Denmark environment minister to step down, bringing coalition crisis to a head ",False
Explosion rocks waste treatment plant at Antwerp port ,False
Iran signals lawyer yet to be appointed for detained Iranian-American  ,False
"U.S. officials, touring missile defense site, voice concern about North Korea  ",False
Suicide bomber kills at least 11 in eastern Afghanistan ,False
Longtime black San Francisco church faces eviction amid gentrification  ,False
Australia sends relief ship to Fiji in wake of Cyclone Winston ,False
"U.N. demands Syria parties halt fighting, peace talks set for March 7  ",False
Syria fighting largely halts as cessation begins  ,False
Rwanda's President Kagame defends measure extending his time in office ,False
Angola says proposes U.N. arms embargo on South Sudan ,False
Syria cessation of hostilities agreement comes into effect ,False
Irish PM's coalition set to fall well short of re-election: exit poll ,False
A new president for FIFA:  ,False
UPDATE: Syria cessation of hostilities agreement comes into effect.,False
"The week, in   ",False
"Wheelchair-bound girl Macedonian border for hours, hoping to cross:  ",False
China state TV airs confession by lawyer who helped Christian groups ,False
Argentine judge summons Fernandez for questioning in fraud probe ,False
Russia committed not to attack moderate Syrian groups: U.S. official ,False
Britain's campaign to leave EU takes 4 percent point lead: ORB poll ,False
U.S. advisors within miles of battle for key Syrian town: military ,False
U.S. mulls special ops mission to support Nigeria's Boko Haram fight ,False
Girl in wheelchair sits silently at shut Macedonian border for hours ,False
The sea is a graveyard. Reuters investigates the migration crisis:  ,False
Cameroon army kills 92 militants in joint operation with Nigeria: Cameroon government ,False
"Kosovo parliament elects new president, turns blind eye to tear gas, petrol bombs ",False
Israeli troops shoot dead Palestinian who tried to stab them-army ,False
Turkey turns off independent TV channel on 'terrorist' charge ,False
Al Qaeda in Syria calls for an escalation in fighting as deadline nears:  ,False
Pope Francis has written his first book.  ,False
"Tear gas in parliament kills Kosovo vote, again:  ",False
"Hezbollah signals no end to Saudi crisis, central bank reassures on currency ",False
FIFA elects Swiss football exec Gianni Infantino to lead it out of an era of scandal:  ,False
Libyan soldiers killed as army presses gains in Benghazi ,False
'Dear Jean-Claude': Cameron thanks Juncker for deal 'creativity' ,False
U.S. urges China's Xi to extend non-militarization pledge to all of South China Sea ,False
Gianni Infantino replaces Sepp Blatter as FIFA president. Here's the action on Twitter:  ,False
"Somali Islamists say set off car bomb, stormed hotel in capital ",False
Arrest of Brazil's 'maker of presidents' could unmake Rousseff ,False
"Iran overstepped a limit set by nuclear deal, IAEA report says ",False
Niger president Issoufou to face run-off election ,False
Some analysts see this election as a 'make-or-break' moment for Iran's future:  ,False
Gianni Infantino replaces Sepp Blatter as FIFA president.,False
Iran extends voting again due to high turnout: State TV ,False
"Kosovo lawmakers release tear gas, disrupt presidential vote ",False
U.S. becoming more careful in YPG ties: Turkey presidential spokesman ,False
Millions of Iranians vote in the high-stake elections set to shape the post-sanctions era:  ,False
Latvian man jailed for petition urging Latvia merger with Russia ,False
Turkish presidential spokesman rules out early election ,False
How the West misread Putin over Syria:  ,False
French judge allows partial demolition of Calais 'jungle':  ,False
"One round down and more to come. So, how does the FIFAelection work? Here's a guide:  ",False
Kurds say investigating suspected Islamic State chemical attack in Iraq ,False
Zuckerberg says learned from Germany about defending migrants ,False
Bosnia eyes closure of radical Islamic centers over links to Syria militants ,False
Bangladesh police arrest three more suspected of killing Hindu priest ,False
"UPDATE: FIFA : Infantino 88, Sheikh Salman 85, Prince Ali 27, Champagne 7 in first round of presidential votes. ",False
No candidate elected outright in first round of FIFA presidential vote.,False
France to move cautiously on Calais migrant 'jungle' camp clearance ,False
Greece seeks to stem migrant flow as thousands trapped by border limits:  ,False
Iran extends voting due to 'rush of voters': state TV ,False
Russian parliament rejects minute's silence for slain Kremlin critic Nemtsov ,False
Austria falls out with mighty neighbor Germany in refugee crisis ,False
The road to Aleppo: a fascinating look at how the West misread Putin over Syria. -  ,False
Putin to spy service: Defend Russian elections from foreign foes ,False
"Unknown gunmen shoot, wound Georgian opposition leader Petriashvili: ministry ",False
Swiss told to wait till after UK referendum for EU migration deal ,False
Malaysia's ruling party suspends deputy chief over criticism of PM ,False
Tokyo Sexwale pulls out before first round of FIFA presidential vote,False
Man sought by Israel dies at Palestinian mission in Bulgaria ,False
Powerful Iraq Shi'ite cleric says PM's position at stake unless he reforms ,False
Palestinian hunger striker held by Israel ends protest-family ,False
Scott Kelly reflects after 11 months in space. Watch -   ,False
Syria opposition agrees to two-week truce: statement ,False
Australian icebreaker rescued in Antarctica: media ,False
Putin says all relevant groups in Syria ready to comply with ceasefire ,False
The road to Aleppo: how the West misread Putin over Syria ,False
New chief of Indonesia's anti-graft agency vows to make a comeback ,False
China admiral talks warships with Cambodia as navy drill shores up ties ,False
Pakistani police free Afghan ex-governor kidnapped in Islamabad ,False
"Saudi Arabia lists four firms, three Lebanese men for links to Hezbollah: agency ",False
"In oil crisis, Azerbaijan leader is hostage to father's legacy ",False
U.N. envoy voices fears on North Korea-Russia extradition pact ,False
SpaceX postpones Falcon rocket launch for second  day:  ,False
Indian villages ban single women from owning 'distracting' mobile phones ,False
FIFA passes reforms with 89 percent members in favour of cleaning up world football's governing body,False
Greece snubs Austrian minister's request to visit Athens ,False
Two die in Nepal's second plane crash in two days ,False
Iran vote likely to shape post-sanctions era:  ,False
Hungary's referendum on migrant quotas 'in 150 days at earliest' ,False
Support for Merkel's conservatives edges up in benchmark survey ,False
Eritrea looks to build mining sector to kick-start economy ,False
Greece seeks to stem migrant flow from islands to mainland ,False
"Proposed North Korea sanctions dig deep, implementation falls to China ",False
"Fight night: Rubio, Cruz gang up on Trump in debate ploy:  ",False
Iranians vote in contest likely to shape post-sanctions era  ,False
Japan opposition parties to merge with eye on July election ,False
Syria war rages hours before deal to halt fighting ,False
"U.S. test-fires ICBM amid tensions with Russia, North Korea ",False
Syria peace talks may restart March 7 in Geneva: Russian official ,False
Prominent Turkish journalists freed after top court ruled their rights violated  ,False
Foreign submarine sighted in Sweden last year: Dagens Nyheter ,False
"Death toll reaches four in Russia mine accident, 26 still missing: agency ",False
Eleven killed in mass Papua New Guinea jail break: media ,False
Philippine army kills 42 Islamist militants in battles in south ,False
Jamaica's opposition wins general election as voters tire of austerity  ,False
Iran begins crucial elections for parliament and Assembly of Experts: TV ,False
Australian abuse victims journey to Rome for Vatican treasurer testimony ,False
Haiti interim president appoints prime minister to help organize election ,False
Canadian teacher re-arrested for sex abuse to return to Jakarta prison ,False
"Obama: No illusions about Syria ceasefire, will work to make it succeed  ",False
Being first in Mexico makes young Syrian refugee a campus celebrity ,False
China says Taiwan president-elect must respect constitution ,False
Bangkok shrine bombers first targeted pier for Chinese tourists  ,False
"Jamaican opposition winning photo-finish general election, provisional results show ",False
Irish vote may bring political uncertainty after economic recovery ,False
Protesters march over extradition of Salvadoran soldiers to Spain ,False
Sri Lanka could accept international actors in war crimes probe ,False
U.S. government concludes cyber attack caused Ukraine power outage ,False
U.N. agency wants speedier aircraft threat warnings: sources ,False
Obama says U.S. will prevail in fight against Islamic State ,False
British finance minister pushes G20 to warn against Brexit: FT ,False
Living with microcephaly:  ,False
Italian killing highlights assault on academic freedom in Egypt ,False
Paris Attacks survivors thank Bataclan security man who saved them:  ,False
Colombia's finance minister under investigation for Isagen sale ,False
'You saved my life': Paris attack survivors seek solace with Bataclan security man ,False
Modern slavery widespread among East Asia migrant domestic workers: researchers ,False
U.S. to submit 'significant' sanctions resolution on North Korea ,False
"Europe's free travel will end unless Turkey halts migrant flow, officials say ",False
Czech ministry allows extradition of Ivory Coast national to U.S. ,False
U.S. and China align over North Korea sanctions resolution: White House ,False
Palestinian activist's U.S. immigration fraud conviction vacated ,False
NASA astronaut Scott Kelly shares his view from the top of the world:  ,False
"Two miners found dead, 28 still trapped after accident at Russian mine ",False
Argentine investigator says Nisman death points to murder ,False
French teacher to stand trial over charges of making up Islamic State attack ,False
Italy seeks to keep allies in check as Libya wrangles over government ,False
Italian Senate approves diluted civil union bill ,False
Bomb explosion at police station kills 4 in northern Nigeria ,False
China cites concerns on U.S. missile defense system in South Korea ,False
"Twin suicide bombing kills 12 at Shi'ite mosque in Baghdad: police, medics ",False
"Thousands of West Africans gain identity documents, 1 million still stateless: U.N. ",False
Moderates test hardliners' grip on power in Iran vote:  ,False
Conciliator Rouhani seeks gains for moderates in Iran polls ,False
"Banned, fined or suspended? Check the list - FIFA's Rogues' Gallery:  ",False
Turkish court rules rights violated in arrest of prominent journalists: acting editor ,False
U.S. to present draft U.N. sanctions resolution on North Korea:  ,False
